word,meaning_zh
atmosphere,大气；环境
hydrosphere,水圈
lithosphere,岩石圈
oxygen,氧气
oxide,氧化物
carbon dioxide,二氧化碳
hydrogen,氢气
core,地核；核心
crust,地壳；外壳
mantle,地幔；斗篷
longitude,经度
latitude,纬度
horizon,地平线；视野
altitude,高度；海拔
disaster,灾难
mishap,小事故；不幸
catastrophic,灾难性的
calamity,灾祸；不幸之事
endanger,危及
jeopardise,危及；损害
jeopardize,危及；损害
destructive,破坏性的
El Nino,厄尔尼诺现象
greenhouse,温室
phenomenon,现象
pebble,鹅卵石
magnet,磁铁
ore,矿石
mineral,矿物
marble,大理石
quartz,石英
granite,花岗岩
gust,阵风
breeze,微风
monsoon,季风
gale,大风
hurricane,飓风
tornado,龙卷风
typhoon,台风
volcano,火山
erupt,爆发
magma,岩浆
thermodynamic,热力学的
smog,烟雾
fume,烟；气
mist,薄雾
tsunami,海啸
drought,干旱
flooding,洪水
torrent,急流
earthquake,地震
seismic,地震的
avalanche,雪崩
terrain,地形
landscape,风景；景色
continent,大陆
cave,洞穴
cliff,悬崖
glacier,冰川
swamp,沼泽
delta,三角洲
plain,平原
plateau,高原
oasis,绿洲
globe,地球
hemisphere,半球
equator,赤道
arctic,北极的
Antarctic,南极的
pole,极
polar,极地的
axis,轴
deteriorate,恶化
aggravate,加重；激怒
degrade,降解；降级
upgrade,升级
erode,侵蚀
Mediterranean,地中海
Atlantic,大西洋
pacific,太平洋
ocean,海洋
marine,海洋的
navigation,导航；航海
gulf,海湾
beach,海滩
coast,海岸
shore,岸
tide,潮汐
current,潮流；电流
brook,小溪
stream,溪流；流动
source,来源；源头
shallow,浅的
superficial,表面的
flat,平坦的
smooth,平滑的
rough,粗糙的
sandy,沙质的
stony,多石的
vertical,垂直的
steep,陡峭的
parallel,平行的
narrow,狭窄的
Oceania,大洋洲
mainland,大陆
peninsula,半岛
climate,气候
weather,天气
meteorology,气象学
mild,温和的
heating,加热
moderate,中等的；温和的
warm,温暖的
thermal,热的
tropics,热带
arid,干旱的
moist,潮湿的
damp,潮湿的
humid,湿润的
snowy,多雪的
frost,霜
hail,冰雹
thaw,融化
chill,寒冷
freeze,冷冻
frigid,寒冷的
tremble,颤抖
shiver,发抖
thunder,雷
lightning,闪电
stormy,暴风雨的
downpour,暴雨
rainfall,降雨量
sprinkle,洒；喷洒
rainbow,彩虹
shower,阵雨
Celsius,摄氏度
temperature,温度
forecast,预报
peak,山峰
mount,山；登上
mountain,山
range,山脉；范围
ridge,山脊
slope,斜坡
valley,山谷
hillside,山腰
overlook,俯瞰；忽略
southern,南方的
southeast,东南
southwest,西南
northeast,东北
northwest,西北
eastern,东方的
oriental,东方的
inevitable,不可避免的
irreversible,不可逆的
irregularly,不规则地
inappropriate,不恰当的
abnormal,异常的
sediment,沉积物
silt,淤泥
muddy,泥泞的
clay,黏土
dirt,泥土
rural,农村的
suburb,郊区
outskirts,市郊
remote,偏远的
desolate,荒凉的
distant,遥远的
adjacent,相邻的
toxic,有毒的
pollution,污染
pollutant,污染物
contaminate,污染
geology,地质学
border,边界
margin,边缘
fringe,边缘；刘海
plate,板块；盘子
debris,碎片
crack,裂纹
gap,间隙
splendid,壮丽的
grand,宏伟的
magnificent,华丽的
super,超级的
interesting,有趣的
dramatic,戏剧性的
wilderness,荒野
desert,沙漠
deforest,砍伐森林
barren,贫瘠的
fertile,肥沃的
fertilise,施肥
fertilize,施肥
solar,太阳的
lunar,月球的
calendar,日历
sunrise,日出
sunset,日落
eclipse,日食；月食
dusk,黄昏
heaven,天堂
paradise,乐园
sunshine,阳光
shade,阴凉处
shadow,影子
vapour,蒸汽
vapor,蒸汽
evaporate,蒸发
circulate,循环
precipitate,使沉淀；促成
reservoir,水库
waterfall,瀑布
fountain,喷泉
spring,泉；春天
dew,露水
pour,倾倒
drain,排水
drip,滴下
drown,淹死
blow,吹
puff,喷出
gush,涌出
dense,浓密的
intensity,强度
intensive,强烈的
emerge,出现
flash,闪光
float,漂浮
environment,环境
surrounding,周围的
condition,条件
situation,情况
nature,自然
natural,天然的
artificial,人造的
synthetic,合成的
petrol,汽油
gas,气体；煤气
gasoline,汽油
petroleum,石油
photosynthesis,光合作用
respire,呼吸
dioxide,二氧化物
vegetation,植被
herb,草本植物
perennial,多年生的
botany,植物学
ecology,生态学
ecosystem,生态系统
